date,CPIAUCSL,GNPC96,MSPUS,USSTHPI,WPU159402,M2SL,MORTGAGE30US,CSUSHPISA,LES1252881600Q,MSACSR
1947-01-01,21.48,2047.193,NA,NA,NA,NA,NA,NA,NA,NA
1947-02-01,21.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-03-01,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-04-01,22,2042.283,NA,NA,NA,NA,NA,NA,NA,NA
1947-05-01,21.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-06-01,22.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-07-01,22.23,2038.031,NA,NA,NA,NA,NA,NA,NA,NA
1947-08-01,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-09-01,22.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-10-01,22.91,2070.361,NA,NA,NA,NA,NA,NA,NA,NA
1947-11-01,23.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-12-01,23.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-01-01,23.68,2102.422,NA,NA,NA,NA,NA,NA,NA,NA
1948-02-01,23.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-03-01,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-04-01,23.82,2137.588,NA,NA,NA,NA,NA,NA,NA,NA
1948-05-01,24.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-06-01,24.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-07-01,24.4,2149.832,NA,NA,NA,NA,NA,NA,NA,NA
1948-08-01,24.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-09-01,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-10-01,24.31,2152.212,NA,NA,NA,NA,NA,NA,NA,NA
1948-11-01,24.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-12-01,24.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-01-01,24.01,2122.155,NA,NA,NA,NA,NA,NA,NA,NA
1949-02-01,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-03-01,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-04-01,23.92,2114.592,NA,NA,NA,NA,NA,NA,NA,NA
1949-05-01,23.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-06-01,23.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-07-01,23.7,2135.924,NA,NA,NA,NA,NA,NA,NA,NA
1949-08-01,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-09-01,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-10-01,23.67,2116.996,NA,NA,NA,NA,NA,NA,NA,NA
1949-11-01,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-12-01,23.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-01-01,23.51,2200.486,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,23.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-03-01,23.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-04-01,23.65,2267.939,NA,NA,NA,NA,NA,NA,NA,NA
1950-05-01,23.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-06-01,23.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-07-01,24.07,2357.356,NA,NA,NA,NA,NA,NA,NA,NA
1950-08-01,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-09-01,24.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-10-01,24.5,2402.175,NA,NA,NA,NA,NA,NA,NA,NA
1950-11-01,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-12-01,24.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-01-01,25.38,2434.006,NA,NA,NA,NA,NA,NA,NA,NA
1951-02-01,25.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-03-01,25.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-04-01,25.92,2478.324,NA,NA,NA,NA,NA,NA,NA,NA
1951-05-01,25.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-06-01,25.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-07-01,25.91,2529.75,NA,NA,NA,NA,NA,NA,NA,NA
1951-08-01,25.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-09-01,26.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-01,26.16,2536.225,NA,NA,NA,NA,NA,NA,NA,NA
1951-11-01,26.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-12-01,26.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-01-01,26.45,2562.152,NA,NA,NA,NA,NA,NA,NA,NA
1952-02-01,26.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-03-01,26.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-04-01,26.46,2567.729,NA,NA,NA,NA,NA,NA,NA,NA
1952-05-01,26.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-06-01,26.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-07-01,26.68,2585.853,NA,NA,NA,NA,NA,NA,NA,NA
1952-08-01,26.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-09-01,26.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-10-01,26.69,2669.948,NA,NA,NA,NA,NA,NA,NA,NA
1952-11-01,26.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-12-01,26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-01-01,26.64,2719.023,NA,NA,NA,NA,NA,NA,NA,NA
1953-02-01,26.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-03-01,26.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-04-01,26.69,2740.874,NA,NA,NA,NA,NA,NA,NA,NA
1953-05-01,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-06-01,26.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-07-01,26.79,2723.778,NA,NA,NA,NA,NA,NA,NA,NA
1953-08-01,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-09-01,26.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-10-01,26.95,2682.814,NA,NA,NA,NA,NA,NA,NA,NA
1953-11-01,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-12-01,26.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-01-01,26.94,2671.212,NA,NA,NA,NA,NA,NA,NA,NA
1954-02-01,26.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-03-01,26.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-04-01,26.86,2674.022,NA,NA,NA,NA,NA,NA,NA,NA
1954-05-01,26.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-06-01,26.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-07-01,26.86,2704.251,NA,NA,NA,NA,NA,NA,NA,NA
1954-08-01,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-09-01,26.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-10-01,26.72,2758.872,NA,NA,NA,NA,NA,NA,NA,NA
1954-11-01,26.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-12-01,26.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-01-01,26.77,2837.547,NA,NA,NA,NA,NA,NA,NA,NA
1955-02-01,26.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-03-01,26.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-04-01,26.79,2883.116,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-01,26.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-06-01,26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-07-01,26.76,2922.004,NA,NA,NA,NA,NA,NA,NA,NA
1955-08-01,26.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-09-01,26.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-10-01,26.82,2939.847,NA,NA,NA,NA,NA,NA,NA,NA
1955-11-01,26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-12-01,26.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-01-01,26.83,2930.56,NA,NA,NA,NA,NA,NA,NA,NA
1956-02-01,26.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-03-01,26.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-04-01,26.93,2954.398,NA,NA,NA,NA,NA,NA,NA,NA
1956-05-01,27.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-06-01,27.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-07-01,27.29,2952.243,NA,NA,NA,NA,NA,NA,NA,NA
1956-08-01,27.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-09-01,27.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-10-01,27.51,2997.962,NA,NA,NA,NA,NA,NA,NA,NA
1956-11-01,27.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-12-01,27.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-01-01,27.67,3020.301,NA,NA,NA,NA,NA,NA,NA,NA
1957-02-01,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-03-01,27.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-04-01,27.93,3015.357,NA,NA,NA,NA,NA,NA,NA,NA
1957-05-01,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-06-01,28.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-07-01,28.19,3043.696,NA,NA,NA,NA,NA,NA,NA,NA
1957-08-01,28.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-09-01,28.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-10-01,28.32,3007.9,NA,NA,NA,NA,NA,NA,NA,NA
1957-11-01,28.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-12-01,28.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-01-01,28.64,2930.744,NA,NA,NA,NA,NA,NA,NA,NA
1958-02-01,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-03-01,28.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-04-01,28.94,2950.183,NA,NA,NA,NA,NA,NA,NA,NA
1958-05-01,28.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-06-01,28.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-07-01,28.89,3017.372,NA,NA,NA,NA,NA,NA,NA,NA
1958-08-01,28.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-09-01,28.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-10-01,28.91,3087.296,NA,NA,NA,NA,NA,NA,NA,NA
1958-11-01,28.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-12-01,28.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-01-01,29.01,3146.095,NA,NA,NA,286.6,NA,NA,NA,NA
1959-02-01,29,NA,NA,NA,NA,287.7,NA,NA,NA,NA
1959-03-01,28.97,NA,NA,NA,NA,289.2,NA,NA,NA,NA
1959-04-01,28.98,3216.638,NA,NA,NA,290.1,NA,NA,NA,NA
