"date","gdp","hypo","inflation","wage_med","unemp","houseprice"
"2008-01-01",1019575.2,2.32,89.9,84.3935960916668,4.8,105.4173
"2008-04-01",1026524.5,2.19,90.4,84.5168938457887,4.4,108.949
"2008-07-01",1028199.4,2.1,91.5,84.9177496757552,4.3,109.7975
"2008-10-01",1009538,2.1,91.2,85.642417635545,4.1,109.8372
"2009-01-01",975398.7,2.02,91.9,86.4689483507032,5.2,106.1072
"2009-04-01",971615.2,1.91,92,87.1596604642736,6.3,102.6712
"2009-07-01",975901,2.03,91.7,88.180851269309,7,102.4154
"2009-10-01",976842.7,2.12,91.1,89.0844158115532,7.2,101.9279
"2010-01-01",983680.3,2.25,92.5,89.1498474372598,7.7,100.4597
"2010-04-01",994732.4,2.28,93.1,89.7170722448564,7.3,100.0225
"2010-07-01",1003068.4,2.29,93.5,90.1497789605141,7.3,99.6366
"2010-10-01",1006836.9,2.3,92.8,90.409625853914,7.2,99.8842
"2011-01-01",1012855.9,2.51,94.1,91.1106331988667,7,98.9253
"2011-04-01",1015499.7,2.66,94.5,91.7805310774405,6.9,98.8143
"2011-07-01",1014676.3,2.87,95.1,92.3437926306572,6.6,98.0927
"2011-10-01",1015526.9,3,94.9,93.0412295523588,6.6,96.7584
"2012-01-01",1013137.5,3.23,97.4,93.5914356687351,6.6,93.9458
"2012-04-01",1008454.6,3.16,97.8,93.455368274021,6.9,93.694
"2012-07-01",1005367.6,3.14,98.1,93.5027317093693,7.1,93.4945
"2012-10-01",1002996.1,3.13,98.2,96.5332627847991,7.3,93.3631
"2013-01-01",999367.5,3.38,99.3,93.2847368092267,6.9,91.9812
"2013-04-01",1002971.7,3.34,99.5,94.0481086434605,6.9,92.3796
"2013-07-01",1006506.4,3.61,99.5,94.6477180603617,6.7,92.5295
"2013-10-01",1019348.9,3.76,99.1,95.1436775268931,6.6,92.3946
"2014-01-01",1013318.7,3.73,99.5,96.2101767843512,6.4,93.2007
"2014-04-01",1023528.7,3.76,99.6,96.541809698173,6.2,93.8913
"2014-07-01",1034639,4.19,100,97.092954908997,5.7,94.5173
"2014-10-01",1047816.6,4.24,99.8,97.8729545601375,5.5,95.4252
"2015-01-01",1066837.6,4.4,99.5,98.4564832595164,5.8,96.3415
"2015-04-01",1082338,4.47,100.1,99.586345486582,5.3,96.7723
"2015-07-01",1094206.8,4.87,100.4,100.474936699399,5,98.0709
"2015-10-01",1101242.6,5.13,100,101.590819315395,4.6,99.6404
"2016-01-01",1103041.4,5.47,100.1,102.753963966216,4.3,100.4774
"2016-04-01",1106749.8,5.67,100.7,103.554470123656,4,102.0503
"2016-07-01",1115649.1,5.73,100.9,105.101356487672,4.2,104.4365
"2016-10-01",1125146.5,5.71,100.8,106.41508271016,3.8,108.9134
"2017-01-01",1142424.1,5.77,102.3,108.146770691794,3.5,110.6649
"2017-04-01",1174608.7,5.68,102.7,110.372611699532,3.4,113.1326
"2017-07-01",1181242.5,5.75,103.4,112.432482400043,2.8,114.6072
"2017-10-01",1191472.2,5.53,103.7,115.01477030981,2.6,115.0904
"2018-01-01",1197311.8,5.49,104.5,117.193228830659,2.5,116.8804
"2018-04-01",1206108.8,5.27,104.7,119.554522205765,2.3,119.5392
"2018-07-01",1213483.4,4.92,105.8,121.845955735824,2.3,121.8163
"2018-10-01",1221953.7,4.39,106,123.930330609716,2.1,123.891
"2019-01-01",1232837.7,4.46,107.1,127.04430752567,2.1,124.9005
"2019-04-01",1242527.6,4.46,107.6,128.823331465019,2.1,127.0093
"2019-07-01",1249342.6,4.34,108.9,130.903515458718,2.1,128.7843
"2019-10-01",1257202.7,4.2,108.9,132.352081194798,2.2,130.9968
"2020-01-01",1214605.4,4.27,111,133.611878820225,2,130.9246
"2020-04-01",1106581.8,3.89,111,127.620684023249,2.2,132.7234
"2020-07-01",1180872.6,3.88,112.6,136.293850738323,2.9,135.09
"2020-10-01",1190387.8,4.11,112.1,138.241468344089,3.1,139.0667
"2021-01-01",1186618.4,4.62,113.4,139.543153479178,3.2,145.2316
"2021-04-01",1203122.3,4.95,114.4,141.709634431418,3.3,150.4377
"2021-07-01",1222063.5,4.98,116.4,143.644233396124,2.6,158.2932
